timestamp,green,ir,red
1631024009868,51369,313812,270510
1631024009878,51378,313770,270486
1631024009888,51375,313795,270519
1631024009898,51391,313828,270543
1631024009908,51378,313842,270505
1631024009918,51396,313857,270531
1631024009928,51393,313845,270519
1631024009938,51396,313847,270525
1631024009948,51407,313878,270555
1631024009958,51418,313901,270541
1631024009968,51417,313919,270558
1631024009978,51430,313930,270586
1631024009988,51442,313965,270570
1631024009998,51447,313971,270599
1631024010008,51463,313964,270590
1631024010018,51470,313999,270605
1631024010028,51476,313992,270625
1631024010038,51479,314003,270527
1631024010048,51457,313908,270543
1631024010058,51445,313844,270504
1631024010068,51417,313745,270461
1631024010078,51398,313691,270446
1631024010088,51366,313642,270417
1631024010098,51343,313606,270377
1631024010108,51330,313520,270402
1631024010118,51310,313508,270387
1631024010128,51293,313506,270398
1631024010138,51290,313495,270423
1631024010148,51282,313441,270407
1631024010158,51279,313490,270432
1631024010168,51273,313452,270446
1631024010178,51264,313463,270452
1631024010188,51265,313436,270449
1631024010198,51259,313447,270499
1631024010208,51263,313429,270498
1631024010218,51258,313430,270531
1631024010228,51261,313497,270530
1631024010238,51270,313454,270549
1631024010248,51261,313484,270570
1631024010258,51264,313490,270605
1631024010268,51266,313548,270620
1631024010278,51270,313508,270632
1631024010288,51275,313575,270672
1631024010298,51282,313640,270699
1631024010308,51280,313594,270686
1631024010318,51283,313579,270719
1631024010328,51281,313605,270733
1631024010338,51288,313604,270714
1631024010348,51285,313675,270740
1631024010358,51298,313716,270777
1631024010368,51312,313686,270781
1631024010378,51315,313717,270809
1631024010388,51324,313707,270804
1631024010398,51322,313705,270821
1631024010408,51327,313688,270835
1631024010418,51323,313757,270851
1631024010428,51330,313737,270850
1631024010438,51330,313787,270894
1631024010448,51338,313830,270892
1631024010458,51347,313845,270904
1631024010468,51360,313864,270953
1631024010478,51364,313896,270977
1631024010488,51380,313934,270991
1631024010498,51385,313909,270999
1631024010508,51402,313981,271022
1631024010518,51410,313993,271033
1631024010528,51410,314007,271030
