timestamp,ax,ay,az
1629810879758,-0.739991,-0.540521,-0.40211199999999997
1629810879768,-0.74054,-0.540399,-0.402173
1629810879777,-0.740174,-0.539972,-0.402539
1629810879787,-0.74115,-0.540277,-0.402966
1629810879796,-0.741394,-0.540948,-0.402539
1629810879806,-0.741516,-0.540582,-0.402661
1629810879816,-0.741638,-0.540887,-0.402478
1629810879825,-0.741455,-0.540704,-0.402966
1629810879835,-0.741516,-0.540216,-0.401075
1629810879844,-0.74115,-0.539057,-0.399611
1629810879854,-0.741394,-0.539606,-0.397781
1629810879864,-0.742248,-0.539667,-0.398391
1629810879873,-0.742126,-0.540826,-0.399123
1629810879883,-0.742309,-0.540582,-0.39955
1629810879892,-0.742248,-0.541192,-0.401685
1629810879902,-0.74359,-0.5407649999999999,-0.402356
1629810879912,-0.741699,-0.540338,-0.402539
1629810879921,-0.742431,-0.538264,-0.401746
1629810879931,-0.742126,-0.538081,-0.401624
1629810879940,-0.740845,-0.536861,-0.401136
1629810879950,-0.73993,-0.535519,-0.40119699999999997
1629810879960,-0.74115,-0.534726,-0.401014
1629810879969,-0.742309,-0.53497,-0.402844
1629810879979,-0.73993,-0.536129,-0.402966
1629810879988,-0.73993,-0.535519,-0.401563
1629810879998,-0.739686,-0.534787,-0.402478
1629810880008,-0.739686,-0.533384,-0.401319
1629810880017,-0.738893,-0.53314,-0.402478
1629810880027,-0.739808,-0.531432,-0.402844
1629810880036,-0.7421869999999999,-0.532164,-0.403759
1629810880046,-0.7434069999999999,-0.536312,-0.404918
1629810880056,-0.742309,-0.540277,-0.407358
1629810880065,-0.742004,-0.543327,-0.406565
1629810880075,-0.741394,-0.5435099999999999,-0.399733
1629810880084,-0.741028,-0.5444249999999999,-0.395158
1629810880094,-0.739991,-0.544242,-0.39222999999999997
1629810880104,-0.73932,-0.5441199999999999,-0.39100999999999997
1629810880113,-0.739686,-0.544364,-0.39222999999999997
1629810880123,-0.7388319999999999,-0.5453399999999999,-0.394182
1629810880132,-0.739503,-0.546804,-0.39405999999999997
1629810880142,-0.74054,-0.547414,-0.395524
1629810880152,-0.741028,-0.547902,-0.395036
1629810880161,-0.740845,-0.5474749999999999,-0.394792
1629810880171,-0.742126,-0.5483899999999999,-0.394609
1629810880180,-0.741638,-0.546133,-0.3965
1629810880190,-0.741943,-0.544608,-0.397842
1629810880200,-0.742431,-0.542717,-0.397964
1629810880209,-0.741821,-0.5407649999999999,-0.396988
1629810880219,-0.742065,-0.538996,-0.398818
1629810880228,-0.74237,-0.5386299999999999,-0.399611
1629810880238,-0.743346,-0.538386,-0.400343
1629810880248,-0.742736,-0.537593,-0.400404
1629810880257,-0.743041,-0.537166,-0.40180699999999997
1629810880267,-0.74298,-0.536678,-0.401136
1629810880276,-0.742675,-0.536922,-0.400648
1629810880286,-0.743712,-0.538386,-0.40058699999999997
1629810880296,-0.744444,-0.538691,-0.401563
1629810880305,-0.7431019999999999,-0.539972,-0.40150199999999997
1629810880315,-0.7400519999999999,-0.537471,-0.39955
1629810880324,-0.740601,-0.53436,-0.39772
1629810880334,-0.7424919999999999,-0.536617,-0.398208
1629810880344,-0.7431019999999999,-0.539423,-0.398757
1629810880353,-0.741821,-0.539362,-0.40077
1629810880363,-0.742248,-0.537776,-0.401685
1629810880372,-0.742858,-0.537776,-0.401258
1629810880382,-0.74237,-0.538203,-0.400526
1629810880392,-0.741394,-0.537044,-0.399123
1629810880401,-0.741211,-0.535519,-0.396927
1629810880411,-0.741638,-0.535946,-0.397293
1629810880420,-0.742065,-0.535824,-0.399123
1629810880430,-0.74237,-0.536556,-0.39997699999999997
1629810880440,-0.743041,-0.5364949999999999,-0.400099
1629810880449,-0.742858,-0.535397,-0.40058699999999997
1629810880459,-0.7442,-0.535214,-0.402478
1629810880468,-0.743956,-0.534665,-0.4026
1629810880478,-0.744383,-0.534238,-0.403088
1629810880488,-0.744444,-0.534482,-0.403454
1629810880497,-0.745115,-0.534604,-0.402905
1629810880507,-0.7442,-0.53375,-0.402234
1629810880516,-0.742675,-0.533201,-0.401563
1629810880526,-0.7434069999999999,-0.533201,-0.403149
1629810880536,-0.7442,-0.534543,-0.40363699999999997
1629810880545,-0.74298,-0.533689,-0.404308
1629810880555,-0.741516,-0.53375,-0.404613
1629810880564,-0.742004,-0.53375,-0.404491
1629810880574,-0.741638,-0.534787,-0.402966
1629810880584,-0.740113,-0.535885,-0.400465
1629810880593,-0.740296,-0.537166,-0.400465
1629810880603,-0.739808,-0.537776,-0.398879
1629810880612,-0.739564,-0.5401549999999999,-0.398269
1629810880622,-0.739869,-0.541009,-0.398086
1629810880632,-0.739503,-0.542229,-0.39833
1629810880641,-0.741333,-0.5428999999999999,-0.397964
1629810880651,-0.7406619999999999,-0.542778,-0.397537
1629810880660,-0.741211,-0.542717,-0.397903
1629810880670,-0.740174,-0.542168,-0.397781
1629810880680,-0.740723,-0.541924,-0.398025
