,timestamp,is_touching
1578,1629709027345,1
1579,1629709027483,1
1580,1629709027514,1
1581,1629709027614,1
1582,1629709027764,1
1583,1629709027892,1
1584,1629709027968,1
1585,1629709028092,1
1586,1629709028170,1
1587,1629709028233,1
1588,1629709028438,1
1589,1629709028480,1
1590,1629709028607,1
1591,1629709028670,1
1592,1629709028764,1
1593,1629709028873,1
1594,1629709028982,1
1595,1629709029107,1
1596,1629709029201,1
1597,1629709029310,1
1598,1629709029357,1
1599,1629709029498,1
1600,1629709029623,1
1601,1629709029732,1
1602,1629709029810,1
1603,1629709029956,1
1604,1629709030016,1
1605,1629709030173,1
1606,1629709030204,1
1607,1629709030345,1
1608,1629709030454,1
1609,1629709030563,1
1610,1629709030657,1
1611,1629709030735,1
1612,1629709030876,1
1613,1629709030922,1
1614,1629709031032,1
1615,1629709031126,1
1616,1629709031223,1
1617,1629709031317,1
1618,1629709031426,1
1619,1629709031551,1
1620,1629709031660,1
1621,1629709031788,1
1622,1629709031836,1
1623,1629709031913,1
1624,1629709032116,1
1625,1629709032210,1
1626,1629709032273,1
1627,1629709032335,1
1628,1629709032398,1
1629,1629709032522,1
1630,1629709032663,1
1631,1629709032741,1
1632,1629709032900,1
1633,1629709032947,1
1634,1629709033103,1
1635,1629709033150,1
1636,1629709033291,1
1637,1629709033384,1
1638,1629709033447,1
1639,1629709033572,1
1640,1629709033665,1
1641,1629709033790,1
1642,1629709033872,1
1643,1629709033997,1
1644,1629709034107,1
1645,1629709034169,1
1646,1629709034325,1
1647,1629709034356,1
1648,1629709034497,1
1649,1629709034575,1
1650,1629709034685,1
1651,1629709034778,1
1652,1629709034872,1
1653,1629709034937,1
1654,1629709035094,1
1655,1629709035234,1
1656,1629709035297,1
1657,1629709035406,1
1658,1629709035468,1
1659,1629709035593,1
1660,1629709035703,1
1661,1629709035875,1
1662,1629709035908,1
1663,1629709035988,1
1664,1629709036097,1
1665,1629709036206,1
1666,1629709036347,1
1667,1629709036441,1
1668,1629709036534,1
1669,1629709036597,1
1670,1629709036690,1
1671,1629709036784,1
1672,1629709036925,1
1673,1629709037021,1
1674,1629709037146,1
1675,1629709037177,1
1676,1629709037302,1
1677,1629709037443,1
1678,1629709037537,1
1679,1629709037708,1
1680,1629709037740,1
1681,1629709037865,1
1682,1629709037943,1
1683,1629709038055,1
1684,1629709038149,1
1685,1629709038242,1
1686,1629709038367,1
1687,1629709038399,1
1688,1629709038524,1
1689,1629709038664,1
1690,1629709038773,1
1691,1629709038883,1
1692,1629709038961,1
1693,1629709039027,1
1694,1629709039106,1
1695,1629709039215,1
1696,1629709039387,1
1697,1629709039434,1
1698,1629709039574,1
1699,1629709039652,1
1700,1629709039762,1
1701,1629709039871,1
1702,1629709039996,1
1703,1629709040142,1
1704,1629709040204,1
1705,1629709040267,1
1706,1629709040360,1
1707,1629709040485,1
1708,1629709040579,1
1709,1629709040673,1
1710,1629709040811,1
1711,1629709040912,1
1712,1629709040975,1
1713,1629709041053,1
1714,1629709041209,1
1715,1629709041303,1
1716,1629709041412,1
1717,1629709041475,1
1718,1629709041553,1
1719,1629709041647,1
1720,1629709041818,1
1721,1629709041899,1
1722,1629709041992,1
1723,1629709042102,1
1724,1629709042211,1
1725,1629709042305,1
1726,1629709042414,1
1727,1629709042493,1
1728,1629709042649,1
1729,1629709042695,1
1730,1629709042820,1
1731,1629709042883,1
1732,1629709043042,1
1733,1629709043152,1
1734,1629709043230,1
1735,1629709043308,1
1736,1629709043417,1
1737,1629709043511,1
1738,1629709043652,1
1739,1629709043750,1
1740,1629709043844,1
1741,1629709043953,1
1742,1629709044003,1
1743,1629709044128,1
1744,1629709044253,1
1745,1629709044347,1
1746,1629709044440,1
1747,1629709044534,1
1748,1629709044628,1
1749,1629709044722,1
1750,1629709044848,1
1751,1629709044973,1
1752,1629709045051,1
1753,1629709045161,1
1754,1629709045254,1
1755,1629709045317,1
1756,1629709045442,1
1757,1629709045567,1
1758,1629709045660,1
1759,1629709045723,1
1760,1629709045850,1
1761,1629709045975,1
1762,1629709046053,1
1763,1629709046178,1
1764,1629709046272,1
1765,1629709046365,1
1766,1629709046475,1
1767,1629709046521,1
1768,1629709046709,1
1769,1629709046771,1
1770,1629709046883,1
1771,1629709047008,1
1772,1629709047071,1
1773,1629709047180,1
1774,1629709047290,1
1775,1629709047415,1
1776,1629709047461,1
1777,1629709047696,1
1778,1629709047696,1
1779,1629709047774,1
1780,1629709047883,1
1781,1629709048011,1
1782,1629709048089,1
1783,1629709048198,1
1784,1629709048311,1
1785,1629709048451,1
1786,1629709048498,1
1787,1629709048623,1
1788,1629709048670,1
1789,1629709048779,1
1790,1629709048889,1
1791,1629709049001,1
1792,1629709049126,1
1793,1629709049220,1
1794,1629709049282,1
1795,1629709049392,1
1796,1629709049470,1
1797,1629709049579,1
1798,1629709049704,1
1799,1629709049832,1
1800,1629709049925,1
1801,1629709050003,1
1802,1629709050097,1
1803,1629709050207,1
1804,1629709050347,1
1805,1629709050441,1
1806,1629709050535,1
1807,1629709050644,1
1808,1629709050691,1
1809,1629709050818,1
1810,1629709050959,1
1811,1629709051068,1
1812,1629709051115,1
1813,1629709051271,1
1814,1629709051334,1
1815,1629709051412,1
1816,1629709051568,1
1817,1629709051662,1
1818,1629709051755,1
1819,1629709051881,1
1820,1629709051927,1
1821,1629709051990,1
1822,1629709052162,1
1823,1629709052255,1
1824,1629709052349,1
1825,1629709052412,1
1826,1629709052584,1
1827,1629709052631,1
1828,1629709052787,1
1829,1629709052899,1
1830,1629709052961,1
1831,1629709053039,1
1832,1629709053149,1
1833,1629709053242,1
1834,1629709053383,1
1835,1629709053477,1
1836,1629709053586,1
1837,1629709053664,1
1838,1629709053789,1
1839,1629709053836,1
1840,1629709054011,1
1841,1629709054073,1
1842,1629709054182,1
1843,1629709054292,1
1844,1629709054417,1
1845,1629709054464,1
1846,1629709054651,1
1847,1629709054776,1
1848,1629709054823,1
1849,1629709054873,1
1850,1629709054982,1
1851,1629709055122,1
1852,1629709055232,1
1853,1629709055278,1
1854,1629709055419,1
1855,1629709055528,1
1856,1629709055622,1
1857,1629709055685,1
1858,1629709055810,1
1859,1629709055919,1
1860,1629709056033,1
1861,1629709056095,1
1862,1629709056205,1
1863,1629709056298,1
1865,1629709056470,1
1864,1629709056501,1
1866,1629709056611,1
1867,1629709056705,1
1868,1629709056798,1
1869,1629709056960,1
1870,1629709057027,1
1871,1629709057168,1
1872,1629709057246,1
1873,1629709057371,1
1874,1629709057402,1
1875,1629709057543,1
1876,1629709057621,1
1877,1629709057746,1
1878,1629709057855,1
1879,1629709057949,1
1880,1629709058029,1
1881,1629709058139,1
1882,1629709058264,1
1883,1629709058373,1
1884,1629709058436,1
1885,1629709058529,1
1886,1629709058654,1
1887,1629709058701,1
1888,1629709058892,1
1889,1629709058971,1
1890,1629709059049,1
1891,1629709059189,1
1892,1629709059267,1
1893,1629709059424,1
1894,1629709059533,1
1895,1629709059580,1
1896,1629709059658,1
1897,1629709059767,1
1898,1629709059832,1
1899,1629709059989,1
1900,1629709060098,1
1901,1629709060192,1
1902,1629709060285,1
1903,1629709060410,1
1904,1629709060426,1
1905,1629709060582,1
1906,1629709060692,1
1907,1629709060770,1
1908,1629709060991,1
1909,1629709061007,1
1910,1629709061085,1
1911,1629709061178,1
1912,1629709061272,1
1913,1629709061366,1
1914,1629709061506,1
1916,1629709061647,1
1915,1629709061678,1
1917,1629709061756,1
1918,1629709061900,1
1919,1629709061994,1
1920,1629709062087,1
1921,1629709062181,1
1922,1629709062322,1
1923,1629709062384,1
1924,1629709062509,1
1925,1629709062650,1
1926,1629709062728,1
1927,1629709062837,1
1928,1629709062900,1
1929,1629709063012,1
1930,1629709063121,1
1931,1629709063230,1
1932,1629709063340,1
1933,1629709063418,1
1934,1629709063496,1
1935,1629709063637,1
1936,1629709063730,1
1937,1629709063856,1
1938,1629709063918,1
1939,1629709064044,1
1940,1629709064169,1
1941,1629709064216,1
1942,1629709064357,1
1943,1629709064451,1
1944,1629709064544,1
1945,1629709064654,1
1946,1629709064716,1
1947,1629709064857,1
1948,1629709064966,1
1949,1629709065080,1
