timestamp,is_blink
1630059704828,1
1630059706146,1
1630059707417,1
1630059708709,1
1630059710004,1
1630059711225,1
1630059712590,1
1630059713905,1
1630059715220,1
1630059716506,1
1630059717856,1
1630059719160,1
1630059720500,1
1630059721814,1
1630059723162,1
1630059724542,1
1630059725850,1
1630059727244,1
1630059728513,1
1630059729825,1
1630059731142,1
1630059732461,1
1630059733779,1
1630059734984,1
1630059736345,1
1630059737676,1
1630059738381,1
1630059739621,1
1630059740715,1
1630059740889,1
1630059742118,1
1630059743433,1
1630059744652,1
1630059745971,1
1630059747205,1
1630059747455,1
1630059748239,1
1630059749429,1
1630059750028,1
1630059751340,1
1630059752660,1
1630059753881,1
1630059754106,1
1630059754762,1
1630059755343,1
1630059756659,1
1630059757957,1
1630059759368,1
1630059760601,1
1630059762057,1
1630059763385,1
1630059764682,1
1630059765966,1
1630059767300,1
1630059768661,1
1630059769367,1
1630059769960,1
1630059771278,1
1630059772593,1
1630059774001,1
1630059775194,1
1630059776446,1
1630059777471,1
1630059778796,1
1630059780096,1
1630059781461,1
1630059782796,1
1630059784001,1
1630059785410,1
1630059786626,1
1630059787942,1
1630059789228,1
1630059790582,1
1630059791912,1
1630059793136,1
1630059794436,1
1630059795735,1
1630059797068,1
1630059798290,1
1630059799605,1
1630059800952,1
1630059802269,1
1630059803568,1
1630059804880,1
1630059806198,1
1630059806885,1
1630059807945,1
1630059809357,1
1630059809793,1
1630059810453,1
1630059811080,1
1630059812017,1
1630059812393,1
1630059814015,1
1630059815338,1
1630059816641,1
1630059818004,1
1630059819345,1
1630059820730,1
1630059822032,1
1630059823349,1
1630059824689,1
1630059826019,1
1630059827330,1
1630059828667,1
1630059829959,1
1630059831278,1
1630059832661,1
1630059833946,1
1630059835245,1
1630059836397,1
1630059836554,1
1630059837812,1
1630059839118,1
1630059840436,1
1630059841621,1
1630059842989,1
1630059844304,1
1630059845603,1
1630059846921,1
1630059848249,1
1630059849545,1
1630059850912,1
1630059852232,1
1630059853554,1
1630059854835,1
1630059856177,1
1630059857498,1
1630059858876,1
1630059859561,1
1630059860858,1
1630059862190,1
1630059863489,1
1630059864320,1
1630059864789,1
1630059866167,1
1630059867556,1
1630059868887,1
1630059870187,1
1630059871548,1
1630059872869,1
1630059874206,1
1630059875411,1
1630059876726,1
1630059878034,1
1630059879322,1
1630059880637,1
1630059882102,1
1630059883441,1
1630059884738,1
1630059886123,1
1630059887493,1
1630059888788,1
1630059890041,1
1630059890733,1
1630059891517,1
1630059892145,1
1630059893448,1
1630059894799,1
1630059895894,1
1630059896097,1
1630059897434,1
1630059898748,1
1630059900078,1
1630059901357,1
1630059902735,1
1630059904069,1
1630059905350,1
1630059906654,1
1630059907997,1
1630059909303,1
1630059910663,1
1630059911864,1
1630059913186,1
1630059914478,1
1630059915812,1
1630059917127,1
1630059918444,1
1630059919189,1
1630059919784,1
1630059921111,1
1630059922392,1
1630059923735,1
1630059925027,1
1630059926480,1
1630059927799,1
1630059929233,1
1630059930553,1
1630059931991,1
1630059933275,1
1630059934685,1
1630059936175,1
1630059937460,1
1630059938863,1
1630059940196,1
1630059940992,1
1630059941588,1
1630059942938,1
1630059944348,1
1630059945654,1
1630059947061,1
1630059948421,1
1630059949812,1
1630059951158,1
1630059952435,1
1630059953910,1
1630059955227,1
1630059956606,1
1630059957936,1
1630059959393,1
1630059960679,1
1630059962000,1
1630059963446,1
1630059964873,1
1630059966277,1
1630059967679,1
1630059969003,1
1630059970442,1
1630059971856,1
1630059973177,1
1630059974599,1
1630059976034,1
1630059977336,1
1630059978745,1
1630059980201,1
1630059981634,1
1630059983023,1
1630059984455,1
1630059985809,1
1630059987190,1
1630059988647,1
1630059989990,1
1630059991365,1
1630059992765,1
1630059994099,1
1630059995561,1
1630059996946,1
1630059998250,1
1630059999709,1
1630060000933,1
1630060001099,1
1630060002620,1
1630060004894,1
1630060007645,1
1630060009553,1
1630060010602,1
1630060012127,1
1630060013052,1
1630060014082,1
1630060014833,1
1630060016238,1
1630060017660,1
1630060018972,1
1630060019799,1
1630060020417,1
1630060021817,1
1630060023112,1
1630060024560,1
1630060025996,1
1630060027500,1
1630060028954,1
1630060030365,1
1630060031753,1
1630060033202,1
1630060034654,1
1630060036027,1
1630060037372,1
1630060038777,1
1630060040098,1
1630060041483,1
1630060042861,1
1630060044276,1
1630060045622,1
1630060046984,1
1630060048346,1
1630060049757,1
1630060050981,1
1630060052418,1
1630060053827,1
1630060055145,1
1630060056554,1
1630060057885,1
1630060059328,1
1630060060533,1
1630060060720,1
1630060062146,1
1630060063574,1
1630060064985,1
1630060066336,1
1630060067747,1
1630060069171,1
1630060070473,1
1630060071906,1
1630060073360,1
1630060074773,1
1630060076077,1
1630060077658,1
1630060078918,1
1630060080327,1
1630060081743,1
1630060083240,1
1630060084636,1
1630060085999,1
1630060087488,1
1630060088850,1
1630060090253,1
1630060091772,1
1630060093141,1
1630060094440,1
1630060095286,1
1630060095880,1
1630060097338,1
1630060098703,1
1630060099933,1
1630060100235,1
1630060101555,1
1630060102931,1
1630060104325,1
1630060105664,1
1630060107107,1
1630060108466,1
1630060109765,1
1630060111223,1
1630060112624,1
1630060113969,1
1630060115381,1
1630060116797,1
1630060118131,1
1630060119541,1
1630060120402,1
1630060120980,1
1630060122377,1
1630060123176,1
1630060123807,1
1630060125190,1
1630060126541,1
1630060127996,1
1630060129413,1
1630060130738,1
1630060132230,1
1630060133678,1
1630060135080,1
1630060136375,1
1630060137730,1
1630060137934,1
1630060139236,1
1630060140670,1
1630060142092,1
1630060143499,1
1630060144925,1
1630060146334,1
1630060147784,1
1630060149180,1
1630060150620,1
1630060152038,1
1630060153472,1
1630060154796,1
1630060156252,1
1630060157614,1
1630060159020,1
1630060160569,1
1630060161890,1
1630060163376,1
1630060164850,1
1630060166269,1
1630060167084,1
1630060168384,1
1630060168618,1
