timestamp,bvp
1629377353328,-17.29
1629377353343,-17.7
1629377353359,-17.58
1629377353375,-16.78
1629377353390,-15.24
1629377353406,-13.04
1629377353421,-10.34
1629377353437,-7.37
1629377353453,-4.38
1629377353468,-1.56
1629377353484,0.93
1629377353500,3.03
1629377353515,4.72
1629377353531,6.07
1629377353546,7.16
1629377353562,8.09
1629377353578,8.88
1629377353593,9.5
1629377353609,9.91
1629377353625,10.13
1629377353640,10.23
1629377353656,10.3
1629377353671,10.42
1629377353687,10.58
1629377353703,10.73
1629377353718,10.81
1629377353734,10.79
1629377353750,10.71
1629377353765,10.64
1629377353781,10.62
1629377353796,10.65
1629377353812,10.68
1629377353828,10.66
1629377353843,10.52
1629377353859,10.18
1629377353875,9.54
1629377353890,8.53
1629377353906,7.17
1629377353921,5.58
1629377353937,3.91
1629377353953,2.36
1629377353968,1.03
1629377353984,-0.07
1629377354000,-1.0
1629377354015,-1.83
1629377354031,-2.64
1629377354046,-3.47
1629377354062,-4.35
1629377354078,-5.3
1629377354093,-6.36
1629377354109,-7.53
1629377354125,-8.79
1629377354140,-10.13
1629377354156,-11.54
1629377354171,-13.06
1629377354187,-14.7
1629377354203,-16.39
1629377354218,-17.96
1629377354234,-19.12
1629377354250,-19.62
1629377354265,-19.3
1629377354281,-18.15
1629377354296,-16.32
1629377354312,-14.02
1629377354328,-11.46
1629377354343,-8.79
1629377354359,-6.08
1629377354375,-3.42
1629377354390,-0.9
1629377354406,1.39
1629377354421,3.35
1629377354437,4.92
1629377354453,6.11
1629377354468,7.0
1629377354484,7.69
1629377354500,8.3
1629377354515,8.89
1629377354531,9.49
1629377354546,10.06
1629377354562,10.51
1629377354578,10.79
1629377354593,10.89
1629377354609,10.89
1629377354625,10.92
1629377354640,11.06
1629377354656,11.29
1629377354671,11.51
1629377354687,11.55
1629377354703,11.31
1629377354718,10.81
1629377354734,10.22
1629377354750,9.69
1629377354765,9.33
1629377354781,9.09
1629377354796,8.83
1629377354812,8.41
1629377354828,7.72
1629377354843,6.76
1629377354859,5.61
1629377354875,4.36
