timestamp,hr
1629377003000,52.53
1629377004000,52.55
1629377005000,52.57
1629377006000,52.58
1629377007000,52.6
1629377008000,52.6
1629377009000,52.6
1629377010000,52.6
1629377011000,52.58
1629377012000,52.57
1629377013000,52.57
1629377014000,52.57
1629377015000,52.57
1629377016000,52.55
1629377017000,52.55
1629377018000,52.27
1629377019000,52.02
1629377020000,51.77
1629377021000,51.77
1629377022000,51.75
1629377023000,51.75
1629377024000,51.77
1629377025000,51.8
1629377026000,51.8
1629377027000,51.82
1629377028000,51.85
1629377029000,51.85
1629377030000,51.87
1629377031000,51.88
1629377032000,51.88
1629377033000,51.88
1629377034000,51.9
1629377035000,51.9
1629377036000,51.9
1629377037000,51.93
1629377038000,51.95
1629377039000,51.95
1629377040000,51.95
1629377041000,51.97
1629377042000,51.97
1629377043000,51.93
1629377044000,51.88
1629377045000,51.83
1629377046000,51.78
1629377047000,52.05
1629377048000,52.35
1629377049000,52.65
1629377050000,52.93
1629377051000,53.32
1629377052000,53.7
1629377053000,54.13
1629377054000,54.55
1629377055000,54.95
1629377056000,55.32
1629377057000,55.68
1629377058000,56.0
1629377059000,56.33
1629377060000,56.68
1629377061000,56.98
1629377062000,57.25
1629377063000,57.47
1629377064000,57.8
1629377065000,58.13
1629377066000,58.45
1629377067000,58.9
1629377068000,59.37
1629377069000,59.83
1629377070000,60.32
1629377071000,60.8
1629377072000,61.27
1629377073000,61.75
1629377074000,62.15
1629377075000,62.6
1629377076000,63.03
1629377077000,63.47
1629377078000,63.9
1629377079000,64.32
1629377080000,64.72
1629377081000,65.12
1629377082000,65.52
1629377083000,65.9
1629377084000,66.27
1629377085000,66.63
1629377086000,67.03
1629377087000,67.45
1629377088000,67.87
1629377089000,68.32
1629377090000,68.75
1629377091000,69.17
1629377092000,69.57
1629377093000,69.93
1629377094000,70.27
1629377095000,70.58
1629377096000,70.9
1629377097000,71.18
1629377098000,71.5
1629377099000,71.78
1629377100000,72.07
1629377101000,72.35
1629377102000,72.63
1629377103000,72.97
1629377104000,73.32
1629377105000,73.67
1629377106000,74.0
1629377107000,74.02
1629377108000,74.02
1629377109000,74.0
1629377110000,74.0
1629377111000,73.88
1629377112000,73.75
1629377113000,73.55
1629377114000,73.35
1629377115000,73.13
1629377116000,72.93
1629377117000,72.72
1629377118000,72.58
1629377119000,72.43
1629377120000,72.27
1629377121000,72.13
1629377122000,72.03
1629377123000,72.0
1629377124000,71.85
1629377125000,71.72
1629377126000,71.58
1629377127000,71.3
1629377128000,71.0
1629377129000,70.7
1629377130000,70.37
1629377131000,70.03
1629377132000,69.73
1629377133000,69.42
1629377134000,69.18
1629377135000,68.9
1629377136000,68.65
1629377137000,68.4
1629377138000,68.17
1629377139000,67.95
1629377140000,67.73
1629377141000,67.5
1629377142000,67.27
1629377143000,67.05
1629377144000,66.83
1629377145000,66.6
1629377146000,66.5
1629377147000,66.43
1629377148000,66.38
1629377149000,66.3
1629377150000,66.17
1629377151000,66.07
1629377152000,66.0
