trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
849.4260390009731,850.496313619893,0.3,period,period,1,1.838325924007222,4,1
851.3064566638786,852.6097568979021,0.3,period,period,1,2.1057285850401968,5,1
853.460499046836,854.8299322808161,-0.1,x,x,1,2.2467008428648114,6,1
855.738835094031,856.9426693969872,-0.3,z,z,1,1.8541429319884628,7,1
857.6263992500026,858.7092399669345,0.1,comma,comma,1,1.7445065260399133,8,1
859.4051902259234,860.5088582478929,-0.3,z,z,1,1.6176564819179475,9,1
861.0598580499645,862.0758055839688,0.3,period,period,1,1.8390509109012785,10,1
862.939196521882,864.2648322458845,0.3,period,period,1,2.189515465172008,11,1
865.1619417588226,866.6095221228898,0.1,comma,comma,1,2.324898943072185,12,1
867.5274592579808,868.7094468530267,-0.1,x,x,1,2.3741758700925857,13,1
869.9405219098553,871.0317164249718,-0.1,x,x,1,2.679918934125453,14,1
872.6597473400179,873.7290639379062,-0.3,z,z,1,1.7326685930602252,15,1
874.428058286896,875.6959946658462,0.3,period,period,1,2.358217384899035,16,1
876.828422376886,878.0093188798055,0.1,comma,comma,1,2.02986254892312,17,1
878.8930294099264,880.0092401318252,0.3,period,period,1,1.7903151279315352,18,1
880.7245164390188,882.0961978998967,-0.3,z,z,1,1.8835506439208984,19,1
882.6379652309697,883.8959256578237,0.3,period,period,1,2.0120945491362363,20,1
884.694537317846,885.8425045898184,-0.1,x,x,1,1.9053331220056864,21,1
886.6385289218742,887.8295742010232,-0.1,x,x,1,1.9182896439451724,22,1
888.5927431238815,889.795942761004,0.1,comma,comma,1,2.0038817629683763,23,1
890.6398638898972,892.0293604109902,-0.1,x,x,1,2.058741304092109,24,1
892.7370272160042,893.7962295589969,-0.1,x,x,1,1.706452728016302,25,1
894.4935063249432,895.6422789248172,-0.3,z,z,1,1.7589107051026076,26,1
896.2923713698983,897.4627825990319,-0.3,z,z,1,1.8889404330402613,27,1
898.2251275668386,899.6087102789897,0.3,period,period,1,2.14910424198024,28,1
900.4061068168376,901.5758068379946,0.1,comma,comma,1,2.511093143839389,29,1
902.9591320049948,904.3957682489416,-0.3,z,z,1,2.296803280012682,30,1
905.2921878648922,906.642400774872,0.1,comma,comma,1,2.728612161939964,31,1
908.0600597469602,909.262195038842,-0.1,x,x,1,2.524280220037326,32,1
910.6259306438732,911.7958661760204,0.1,comma,comma,1,2.4338785961736,33,1
913.0934064879548,914.1958134318702,0.1,comma,comma,1,1.856247069081292,34,1
914.9941850479228,916.0624754768796,0.3,period,period,1,1.6852786971721798,35,1
1438.0443925098516,1439.2053741058337,0.1,comma,comma,1,2.5750432489439845,0,2
1440.6702933029735,1441.8386384600308,-0.1,x,x,1,1.939117930829525,1,2
1442.6463492638431,1443.7178206278477,0.3,period,period,1,1.8838578830473125,2,2
1444.5659184260294,1446.0844193960074,0.3,period,period,1,2.781232540961355,3,2
1447.3811931668315,1448.5515788479242,-0.1,x,x,1,2.050844219047576,4,2
1449.4686457589269,1450.5842941349838,0.1,comma,comma,1,1.8724162569269536,5,2
1451.3706994159147,1452.6174230298493,0.3,period,period,1,1.8771999769378451,6,2
1453.2824477078393,1454.6381184968632,0.1,comma,comma,1,2.0603353318292648,7,2
1455.3811230668798,1456.5180410610046,-0.3,z,z,1,2.3116870359517634,8,2
