timestamp,cumulative_impulse_load,walking_step_count,running_step_count,bound_count,jump_count,minor_impact_count,major_impact_count,avg_force_dev_rate,avg_step_impulse,avg_step_period,last_jump_flight_time
1631106951449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106952449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106953449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106954449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106955449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106956449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106957449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106958449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106959449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106960449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106961449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106962449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106963449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106964449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106965449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106966449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106967449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106968449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106969449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106970449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106971449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106972449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106973449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106974449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106975449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106976449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106977449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106978449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106979449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106980449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106981449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106982449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106983449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106984449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106985449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106986449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
1631106987449,239,1,1,0,0,2,0,0.0,0.0,0.0,0.0
