timestamp,green,ir,red
1630937425845,66694,372526,361062
1630937425855,66691,372527,361027
1630937425865,66698,372568,361064
1630937425875,66710,372580,361061
1630937425885,66741,372622,361048
1630937425895,66743,372592,361040
1630937425905,66762,372697,361105
1630937425915,66802,372771,361100
1630937425925,66810,372744,361205
1630937425935,66866,372820,361193
1630937425945,66899,372860,361243
1630937425955,66921,372816,361307
1630937425965,66926,372890,361308
1630937425975,66951,372909,361363
1630937425985,66950,372927,361367
1630937425995,66951,372917,361309
1630937426005,66969,372943,361318
1630937426015,67004,373043,361367
1630937426025,67019,373001,361408
1630937426035,67015,373061,361380
1630937426045,67021,373062,361355
1630937426055,67023,373093,361390
1630937426065,67013,373062,361339
1630937426075,66995,373051,361322
1630937426085,66987,373042,361307
1630937426095,66955,373080,361267
1630937426105,66932,373062,361234
1630937426115,66907,373025,361223
1630937426125,66890,372987,361180
1630937426135,66858,372934,361116
1630937426145,66810,372972,361065
1630937426155,66767,372879,361041
1630937426165,66733,372774,360937
1630937426175,66685,372755,360876
1630937426185,66636,372692,360785
1630937426195,66598,372678,360760
1630937426205,66557,372599,360692
1630937426215,66519,372564,360629
1630937426225,66474,372504,360548
1630937426235,66430,372421,360446
1630937426245,66387,372343,360394
1630937426255,66336,372290,360391
1630937426265,66302,372270,360292
1630937426275,66289,372153,360285
1630937426285,66255,372224,360261
1630937426295,66241,372164,360215
1630937426305,66217,372212,360161
1630937426315,66206,372182,360185
1630937426325,66210,372191,360164
1630937426335,66194,372118,360103
1630937426345,66176,372162,360110
1630937426355,66168,372135,360070
1630937426365,66166,372105,360078
1630937426375,66152,372181,360037
1630937426385,66147,372159,360008
1630937426395,66144,372158,360018
1630937426405,66122,372160,359953
1630937426415,66115,372145,359959
1630937426425,66103,372116,359877
1630937426435,66089,372103,359885
1630937426445,66072,372144,359863
1630937426455,66056,372168,359844
1630937426465,66040,372135,359812
1630937426475,66031,372084,359772
1630937426485,66024,372178,359794
1630937426495,66028,372110,359754
1630937426505,66020,372129,359774
1630937426515,66023,372120,359799
1630937426525,66027,372133,359765
1630937426535,66029,372174,359762
1630937426545,66038,372136,359804
1630937426555,66054,372191,359796
1630937426565,66049,372195,359773
1630937426575,66068,372207,359794
1630937426585,66074,372226,359813
1630937426595,66088,372259,359852
1630937426605,66113,372348,359870
1630937426615,66132,372337,359889
1630937426625,66153,372378,359916
1630937426635,66183,372396,359931
1630937426645,66206,372475,359956
1630937426655,66221,372529,360022
1630937426665,66241,372547,360053
1630937426675,66267,372636,360063
1630937426685,66292,372647,360128
1630937426695,66302,372682,360115
1630937426705,66355,372752,360177
1630937426715,66393,372786,360284
1630937426725,66433,372893,360321
1630937426735,66490,372868,360408
1630937426745,66506,372938,360441
1630937426755,66534,372957,360526
1630937426765,66558,372983,360598
1630937426775,66547,373029,360568
1630937426785,66554,373058,360546
1630937426795,66532,373012,360578
1630937426805,66508,372936,360578
1630937426815,66500,372995,360549
1630937426825,66477,372993,360561
1630937426835,66458,372976,360561
1630937426845,66427,372920,360551
1630937426855,66430,372918,360569
1630937426865,66408,372883,360550
1630937426875,66400,372895,360540
1630937426885,66383,372824,360588
1630937426895,66378,372904,360641
1630937426905,66344,372839,360609
1630937426915,66327,372745,360623
1630937426925,66307,372776,360594
1630937426935,66285,372679,360573
1630937426945,66262,372675,360590
1630937426955,66251,372582,360612
1630937426965,66221,372639,360630
1630937426975,66194,372591,360582
1630937426985,66175,372479,360617
1630937426995,66165,372495,360663
1630937427005,66142,372449,360640
1630937427015,66116,372395,360677
1630937427025,66122,372383,360713
1630937427035,66104,372320,360697
1630937427045,66080,372245,360730
1630937427055,66066,372306,360749
1630937427065,66073,372226,360774
1630937427075,66068,372207,360799
1630937427085,66065,372211,360819
1630937427095,66063,372203,360838
1630937427105,66066,372171,360885
1630937427115,66054,372197,360898
1630937427125,66067,372192,360901
1630937427135,66069,372186,360959
1630937427145,66079,372208,361009
1630937427155,66078,372160,361059
1630937427165,66083,372185,361044
1630937427175,66082,372169,361087
1630937427185,66080,372205,361152
1630937427195,66120,372254,361169
1630937427205,66144,372230,361218
